"Source_ID","PDF","Taxon_group","n_species","logitMSA_loss_pred","logitMSA_loss_pred_lwr","logitMSA_loss_pred_med","logitMSA_loss_pred_mea","logitMSA_loss_pred_upr","MSA_loss_pred","MSA_loss_pred_lwr","MSA_loss_pred_med","MSA_loss_pred_mea","MSA_loss_pred_upr"
0,0.1,"Invertebrates",1,-0.994637896178906,-1.43704024103407,-1.05268528800553,-1.04657169304549,-0.618480089741426,0.269996980234673,0.192004102676183,0.258709785302076,0.259883973073969,0.350127210161764
0,0.11,"Invertebrates",1,-0.952732763851378,-1.38536471695499,-1.00974545526588,-1.00067056682802,-0.582360474524078,0.278335573319601,0.200148784550675,0.267029668530063,0.268809600358886,0.358389629559751
0,0.12,"Invertebrates",1,-0.910827631523849,-1.33368919287591,-0.963722379937498,-0.954769440610549,-0.54468465193049,0.286830508098708,0.20854978420682,0.27613353173243,0.277926661231116,0.36709848733211
0,0.13,"Invertebrates",1,-0.868922499196321,-1.28230241980159,-0.917704925962804,-0.908868314393077,-0.504436760556741,0.295478556958232,0.217158555670083,0.285425762158509,0.287231470937085,0.376498581496323
0,0.14,"Invertebrates",1,-0.827017366868792,-1.23050037172126,-0.872895413677422,-0.862967188175605,-0.464230920564097,0.304276101366269,0.226093860975607,0.29465218401304,0.296719788022777,0.385982613085988
0,0.15,"Invertebrates",1,-0.785112234541264,-1.17887634481515,-0.827745939757252,-0.817066061958133,-0.426486639225668,0.313219129751613,0.235254292573664,0.304121890198269,0.306386808175517,0.394965601001698
0,0.16,"Invertebrates",1,-0.743207102213735,-1.1271806263419,-0.782129738758764,-0.771164935740661,-0.383846946013669,0.322303237274869,0.244681781551654,0.313861060214422,0.316227161161098,0.405199396551364
0,0.17,"Invertebrates",1,-0.701301969886207,-1.07316273758873,-0.736419965440926,-0.725263809523189,-0.343612730076063,0.331523627584549,0.254802084368678,0.323787494284408,0.326234911052233,0.414932169529855
0,0.18,"Invertebrates",1,-0.659396837558678,-1.018293993722,-0.690317148252145,-0.679362683305717,-0.303392891186522,0.340875116636888,0.265359843059228,0.333962525754275,0.336403559918777,0.424728272970671
0,0.19,"Invertebrates",1,-0.61749170523115,-0.965569466841543,-0.646378020045427,-0.633461557088245,-0.263185384805288,0.350352138642405,0.275764481682443,0.343806205768981,0.346726055120344,0.434580831905762
0,0.2,"Invertebrates",1,-0.575586572903621,-0.914611675792938,-0.599675430085551,-0.587560430870772,-0.22564886647388,0.359948754184788,0.286057073474382,0.354417953765595,0.357194800308183,0.443825934519029
0,0.21,"Invertebrates",1,-0.533681440576093,-0.86827412746747,-0.555081760417018,-0.5416593046533,-0.18462523107777,0.36965866053877,0.295613547031755,0.364686207382094,0.367801670205677,0.453974355685847
0,0.22,"Invertebrates",1,-0.491776308248564,-0.816682716957636,-0.507145220665276,-0.495758178435828,-0.141583085500445,0.379475204193461,0.306468280374789,0.375862990521727,0.378538029196249,0.464663238296238
0,0.23,"Invertebrates",1,-0.449871175921036,-0.766465950025437,-0.459577504409264,-0.449857052218356,-0.0971659514309872,0.389391395566324,0.317244087591718,0.38708605634288,0.389394753704142,0.475727605893324
0,0.24,"Invertebrates",1,-0.407966043593507,-0.714871666723112,-0.410948937819329,-0.403955926000884,-0.0534569421542254,0.399399925870959,0.328523274924832,0.398684605505681,0.400362258308365,0.486638946071954
0,0.25,"Invertebrates",1,-0.366060911265979,-0.664460285497441,-0.362561219129484,-0.358054799783412,-0.0116960721621877,0.409493186079369,0.339738383160969,0.410339708712209,0.411430525483654,0.497076015292341
0,0.26,"Invertebrates",1,-0.32415577893845,-0.618685752599752,-0.313799674396879,-0.31215367356594,0.0258103895542799,0.4196632878968,0.350080415458632,0.422187553431333,0.422589138815483,0.506452239198526
0,0.27,"Invertebrates",1,-0.282250646610921,-0.569430490839298,-0.267673820244159,-0.266252547348468,0.0690521693456133,0.429902086644831,0.361368246500142,0.433478257657163,0.433827319489895,0.51725618613268
0,0.28,"Invertebrates",1,-0.240345514283393,-0.520324822379581,-0.222421541740903,-0.220351421130996,0.112331246965503,0.440201205926666,0.37277628248809,0.444622725556566,0.445133965813951,0.528053319155689
0,0.29,"Invertebrates",1,-0.198440381955864,-0.465251394254063,-0.176114468188982,-0.174450294913524,0.155541386301759,0.450552063927743,0.385740788942905,0.456084831511467,0.456497695480061,0.538807139280622
