"Database","Source_ID","SS_ID","Source_ID_original","SS_ID_original","Longitude","Latitude","Taxon_group","Pressure","Pressure_level","Pressure_unit","n_species","PDF","MSA_loss"
"PREDICTS",15,"15_1","CM1_2009__Letcher","CM1_2009__Letcher 1",-84.055208335,10.43048611,"Plants","Land_use","Young secondary vegetation","Land_use_category",9,0.666666666666667,0.684027777777778
"PREDICTS",16,"16_1","CM1_2009__Roembke","CM1_2009__Roembke 1",-48.7289575,-25.262963,"Invertebrates","Land_use","Forest_plantation","Land_use_category",3,0,0.0555555555555556
"PREDICTS",16,"16_1","CM1_2009__Roembke","CM1_2009__Roembke 1",-48.6758238571429,-25.329851,"Invertebrates","Land_use","Intermediate secondary vegetation","Land_use_category",3,0.666666666666667,0.666666666666667
"PREDICTS",16,"16_1","CM1_2009__Roembke","CM1_2009__Roembke 1",-48.520426,-25.594835,"Invertebrates","Land_use","Intermediate secondary vegetation","Land_use_category",3,0.666666666666667,0.944444444444444
"PREDICTS",16,"16_1","CM1_2009__Roembke","CM1_2009__Roembke 1",-48.482644,-25.2674116666667,"Invertebrates","Land_use","Intermediate secondary vegetation","Land_use_category",3,0.666666666666667,0.781305114638448
"PREDICTS",16,"16_1","CM1_2009__Roembke","CM1_2009__Roembke 1",-48.667096,-25.41706,"Invertebrates","Land_use","Mature secondary vegetation","Land_use_category",3,0.666666666666667,0.666666666666667
"PREDICTS",16,"16_1","CM1_2009__Roembke","CM1_2009__Roembke 1",-48.520426,-25.594835,"Invertebrates","Land_use","Mature secondary vegetation","Land_use_category",3,0.666666666666667,0.940035273368607
"PREDICTS",16,"16_1","CM1_2009__Roembke","CM1_2009__Roembke 1",-48.6764351666667,-25.3060976666667,"Invertebrates","Land_use","Pasture","Land_use_category",3,0.666666666666667,0.775426219870664
"PREDICTS",16,"16_1","CM1_2009__Roembke","CM1_2009__Roembke 1",-48.6752303846154,-25.3224955384615,"Invertebrates","Land_use","Young secondary vegetation","Land_use_category",3,0,0.0256410256410257
"PREDICTS",16,"16_1","CM1_2009__Roembke","CM1_2009__Roembke 1",-48.520426,-25.594835,"Invertebrates","Land_use","Young secondary vegetation","Land_use_category",3,0.666666666666667,0.99294532627866
"PREDICTS",16,"16_1","CM1_2009__Roembke","CM1_2009__Roembke 1",-48.4909123333333,-25.2716855,"Invertebrates","Land_use","Young secondary vegetation","Land_use_category",3,0.666666666666667,0.666666666666667
"PREDICTS",17,"17_1","CM1_2010__Berry","CM1_2010__Berry 1",117.817388923077,4.97419992307692,"Plants","Land_use","Intermediate secondary vegetation","Land_use_category",4,0.5,0.554878048780488
"PREDICTS",17,"17_1","CM1_2010__Berry","CM1_2010__Berry 1",117.817838,4.97407758333333,"Plants","Land_use","Intermediate secondary vegetation","Land_use_category",62,0.32258064516129,0.478860548017233
"PREDICTS",17,"17_1","CM1_2010__Berry","CM1_2010__Berry 1",117.818665928571,4.97410885714286,"Plants","Land_use","Intermediate secondary vegetation","Land_use_category",40,0.225,0.45085628748304
"PREDICTS",18,"18_1","CM1_2012__Katovai","CM1_2012__Katovai 1",156.947822727364,-7.97708787878727,"Plants","Land_use","Forest_plantation","Land_use_category",27,0.962962962962963,0.996632996632997
"PREDICTS",18,"18_1","CM1_2012__Katovai","CM1_2012__Katovai 1",156.94786666675,-7.9741333333325,"Plants","Land_use","Forest_plantation","Land_use_category",8,0.75,0.860054347826087
"PREDICTS",18,"18_1","CM1_2012__Katovai","CM1_2012__Katovai 1",156.986287654481,-7.99514876543111,"Plants","Land_use","Intermediate secondary vegetation","Land_use_category",3,0.666666666666667,0.666666666666667
"PREDICTS",18,"18_1","CM1_2012__Katovai","CM1_2012__Katovai 1",156.98832533348,-7.9920366666656,"Plants","Land_use","Intermediate secondary vegetation","Land_use_category",3,0.666666666666667,0.980869565217391
"PREDICTS",18,"18_1","CM1_2012__Katovai","CM1_2012__Katovai 1",156.9911458335,-7.99667976190393,"Plants","Land_use","Intermediate secondary vegetation","Land_use_category",2,0.5,0.964285714285714
"PREDICTS",18,"18_1","CM1_2012__Katovai","CM1_2012__Katovai 1",156.99257654337,-7.99717777777704,"Plants","Land_use","Intermediate secondary vegetation","Land_use_category",5,0.4,0.690750237416904
"PREDICTS",18,"18_1","CM1_2012__Katovai","CM1_2012__Katovai 1",156.993798077077,-7.99575961538385,"Plants","Land_use","Intermediate secondary vegetation","Land_use_category",8,0.5,0.610576923076923
"PREDICTS",18,"18_1","CM1_2012__Katovai","CM1_2012__Katovai 1",156.996546527917,-7.99256874999917,"Plants","Land_use","Intermediate secondary vegetation","Land_use_category",5,0.4,0.5625
"PREDICTS",18,"18_1","CM1_2012__Katovai","CM1_2012__Katovai 1",156.95874583325,-7.9445291666675,"Plants","Land_use","Pasture","Land_use_category",32,0.96875,0.981317934782609
"PREDICTS",18,"18_1","CM1_2012__Katovai","CM1_2012__Katovai 1",157.130549206286,-8.07293174603286,"Plants","Land_use","Young secondary vegetation","Land_use_category",2,0,0.178571428571429
"PREDICTS",18,"18_1","CM1_2012__Katovai","CM1_2012__Katovai 1",157.134475438526,-8.07514561403632,"Plants","Land_use","Young secondary vegetation","Land_use_category",8,0.625,0.832988721804511
"PREDICTS",18,"18_1","CM1_2012__Katovai","CM1_2012__Katovai 1",157.135087719211,-8.07699824561526,"Plants","Land_use","Young secondary vegetation","Land_use_category",3,0.666666666666667,0.878787878787879
"PREDICTS",18,"18_1","CM1_2012__Katovai","CM1_2012__Katovai 1",157.135293518444,-8.07473611111222,"Plants","Land_use","Young secondary vegetation","Land_use_category",9,0.666666666666667,0.806584362139918
"PREDICTS",18,"18_1","CM1_2012__Katovai","CM1_2012__Katovai 1",157.135828703611,-8.07475092592722,"Plants","Land_use","Young secondary vegetation","Land_use_category",5,0.8,0.8
"PREDICTS",19,"19_1","CM1_2012__McNamara","CM1_2012__McNamara 1",102.1771945,18.2732306666667,"Plants","Land_use","Young secondary vegetation","Land_use_category",12,0,0.299241625543634
"PREDICTS",20,"20_1","DI1_2006__Scott","DI1_2006__Scott 1",46.44255,-24.8506666667,"Vertebrates","Land_use","Primary vegetation - Light/intense use","Land_use_category",7,0.285714285714286,0.369047619047619
"PREDICTS",20,"20_2","DI1_2006__Scott","DI1_2006__Scott 2",46.44255,-24.8506666667,"Vertebrates","Land_use","Primary vegetation - Light/intense use","Land_use_category",4,0.5,0.571428571428571
"PREDICTS",21,"21_1","DI1_2008__Noeske","DI1_2008__Noeske 1",-79.07715,-3.9742875,"Plants","Land_use","Mature secondary vegetation","Land_use_category",32,0.25,0.378797635895924
"PREDICTS",21,"21_1","DI1_2008__Noeske","DI1_2008__Noeske 1",-79.0802125,-3.97524722222,"Plants","Land_use","Secondary vegetation","Land_use_category",31,0.387096774193548,0.652896575301394
"PREDICTS",22,"22_1","DI1_2012__Reid","DI1_2012__Reid 1",-82.9675575714286,8.79034557142857,"Vertebrates","Land_use","Forest_plantation","Land_use_category",10,0.3,0.422516909177314
"PREDICTS",22,"22_1","DI1_2012__Reid","DI1_2012__Reid 1",-82.9674765384615,8.79041492307692,"Vertebrates","Land_use","Forest_plantation","Land_use_category",109,0.36697247706422,0.555856702390104
"PREDICTS",22,"22_1","DI1_2012__Reid","DI1_2012__Reid 1",-82.9680401333333,8.79010666666667,"Vertebrates","Land_use","Young secondary vegetation","Land_use_category",108,0.268518518518518,0.558423795604356
"PREDICTS",22,"22_1","DI1_2012__Reid","DI1_2012__Reid 1",-82.9680376923077,8.78995215384615,"Vertebrates","Land_use","Young secondary vegetation","Land_use_category",2,0,0.614514937156715
"PREDICTS",22,"22_1","DI1_2012__Reid","DI1_2012__Reid 1",-82.9680376923077,8.79020861538462,"Vertebrates","Land_use","Young secondary vegetation","Land_use_category",4,0.25,0.513128680348915
