"pressure_intensity","intraspecies_diversity","interspecies_diversity","diversity_metric","diversity_value"
0.087,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.087,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.088,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.088,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.089,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.089,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.09,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.09,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.091,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.091,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.092,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.092,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.093,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.093,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.094,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.094,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.095,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.095,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.096,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.096,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.097,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.097,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.098,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.098,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.099,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.099,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.1,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.1,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.101,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.101,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.102,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.102,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.103,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.103,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.104,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.104,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.105,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.105,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.106,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.106,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.107,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.107,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.108,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.108,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.109,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.109,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.11,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.11,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.111,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.111,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.112,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.112,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.113,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.113,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.114,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.114,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.115,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.115,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.116,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.116,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.117,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.117,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.118,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.118,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.119,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.119,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.12,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.12,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.121,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.121,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.122,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.122,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.123,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.123,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.124,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.124,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.125,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.125,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.126,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.126,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.127,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.127,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.128,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.128,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.129,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.129,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.13,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.13,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.131,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.131,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.132,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.132,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.133,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.133,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.134,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.134,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.135,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.135,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.136,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.136,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.137,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.137,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.138,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.138,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.139,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.139,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.14,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.14,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.141,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.141,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.142,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.142,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.143,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.143,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.144,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.144,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.145,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.145,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.146,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.146,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.147,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.147,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.148,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.148,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.149,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.149,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.15,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.15,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.151,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.151,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.152,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.152,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.153,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.153,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.154,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.154,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.155,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.155,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.156,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.156,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.157,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.157,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.158,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.158,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.159,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.159,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.16,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.16,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.161,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.161,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.162,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.162,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.163,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.163,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.164,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.164,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.165,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.165,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.166,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.166,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.167,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.167,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.168,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.168,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.169,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.169,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.17,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.17,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.171,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.171,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.172,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.172,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.173,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.173,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.174,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.174,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.175,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.175,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.176,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.176,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.177,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.177,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.178,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.178,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.179,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.179,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.18,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.18,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.181,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.181,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.182,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.182,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.183,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.183,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.184,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.184,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
