"pressure_intensity","intraspecies_diversity","interspecies_diversity","diversity_metric","diversity_value"
0.322,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.323,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.323
0.323,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.324,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.324
0.324,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.325,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.325
0.325,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.326,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.326
0.326,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.327,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.327
0.327,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.328,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.328
0.328,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.329,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.329
0.329,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.33,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.33
0.33,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.331,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.331
0.331,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.332,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.332
0.332,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.333,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.333
0.333,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.334,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.334
0.334,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.335,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.335
0.335,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.336,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.336
0.336,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.337,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.337
0.337,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.338,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.338
0.338,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.339,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.339
0.339,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.34,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.34
0.34,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.341,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.341
0.341,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.342,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.342
0.342,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.343,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.343
0.343,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.344,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.344
0.344,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.345,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.345
0.345,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.346,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.346
0.346,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.347,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.347
0.347,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.348,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.348
0.348,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.349,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.349
0.349,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.35,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.35
0.35,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.351,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.351
0.351,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.352,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.352
0.352,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.353,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.353
0.353,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.354,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.354
0.354,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.355,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.355
0.355,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.356,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.356
0.356,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.357,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.357
0.357,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.358,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.358
0.358,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.359,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.359
0.359,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.36,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.36
0.36,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.361,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.361
0.361,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.362,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.362
0.362,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.363,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.363
0.363,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.364,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.364
0.364,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.365,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.365
0.365,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.366,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.366
0.366,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.367,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.367
0.367,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.368,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.368
0.368,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.369,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.369
0.369,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.37,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.37
0.37,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.371,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.371
0.371,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.372,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.372
0.372,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.373,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.373
0.373,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.374,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.374
0.374,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.375,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.375
0.375,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.376,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.376
0.376,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.377,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.377
0.377,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.378,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.378
0.378,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.379,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.379
0.379,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.38,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.38
0.38,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.381,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.381
0.381,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.382,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.382
0.382,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.383,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.383
0.383,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.384,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.384
0.384,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.385,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.385
0.385,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.386,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.386
0.386,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.387,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.387
0.387,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.388,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.388
0.388,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.389,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.389
0.389,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.39,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.39
0.39,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.391,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.391
0.391,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.392,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.392
0.392,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.393,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.393
0.393,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.394,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.394
0.394,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.395,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.395
0.395,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.396,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.396
0.396,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.397,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.397
0.397,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.398,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.398
0.398,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.399,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.399
0.399,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.4,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.4
0.4,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.401,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.401
0.401,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.402,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.402
0.402,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.403,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.403
0.403,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.404,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.404
0.404,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.405,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.405
0.405,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.406,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.406
0.406,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.407,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.407
0.407,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.408,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.408
0.408,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.409,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.409
0.409,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.41,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.41
0.41,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.411,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.411
0.411,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.412,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.412
0.412,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.413,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.413
0.413,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.414,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.414
0.414,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.415,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.415
0.415,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.416,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.416
0.416,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.417,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.417
0.417,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.418,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.418
0.418,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.419,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.419
0.419,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.42,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.42
0.42,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.421,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.421
0.421,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.422,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.422
0.422,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.423,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.423
0.423,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.424,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.424
0.424,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.425,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.425
0.425,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.426,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.426
0.426,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.427,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.427
0.427,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.428,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.428
0.428,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.429,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.429
0.429,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.43,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.43
0.43,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.431,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.431
0.431,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.432,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.432
0.432,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.433,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.433
0.433,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.434,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.434
0.434,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.435,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.435
0.435,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.436,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.436
0.436,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.437,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.437
0.437,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.438,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.438
0.438,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.439,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.439
0.439,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.44,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.44
0.44,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.441,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.441
0.441,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.442,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.442
0.442,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.443,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.443
0.443,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.444,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.444
0.444,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.445,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.445
0.445,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.446,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.446
0.446,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.447,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.447
0.447,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.448,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.448
0.448,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.449,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.449
0.449,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.45,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.45
0.45,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.451,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.451
0.451,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.452,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.452
0.452,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.453,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.453
0.453,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.454,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.454
0.454,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.455,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.455
0.455,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.456,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.456
0.456,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.457,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.457
0.457,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.458,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.458
0.458,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.459,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.459
0.459,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.46,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.46
0.46,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.461,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.461
0.461,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.462,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.462
0.462,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.463,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.463
0.463,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.464,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.464
0.464,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.465,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.465
0.465,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.466,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.466
0.466,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.467,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.467
0.467,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.468,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.468
0.468,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.469,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.469
0.469,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.47,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.47
0.47,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.471,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.471
0.471,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.472,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.472
0.472,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.473,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.473
0.473,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.474,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.474
0.474,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.475,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.475
0.475,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.476,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.476
0.476,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.477,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.477
0.477,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.478,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.478
0.478,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.479,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.479
0.479,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.48,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.48
0.48,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.481,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.481
0.481,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.482,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.482
0.482,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.483,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.483
0.483,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.484,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.484
0.484,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.485,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.485
0.485,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.486,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.486
0.486,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.487,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.487
0.487,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.488,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.488
0.488,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.489,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.489
0.489,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.49,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.49
0.49,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.491,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.491
0.491,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.492,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.492
0.492,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.493,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.493
0.493,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.494,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.494
0.494,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.495,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.495
0.495,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.496,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.496
0.496,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.497,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.497
0.497,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.498,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.498
0.498,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.499,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.499
0.499,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.5,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.5
0.5,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.501,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.501
0.501,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.502,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.502
0.502,"Maximum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.503,"Maximum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0.503
